LED #,LED PWM (%),LED current (%),Duration (s)
1,50.1,97.0,0.002
1,50.1,97.0,0.002
1,50.2,97.0,0.002
1,50.3,97.0,0.002
1,50.3,97.0,0.002
1,50.4,97.0,0.002
1,50.4,97.0,0.002
1,50.5,97.0,0.002
1,50.6,97.0,0.002
1,50.6,97.0,0.002
1,50.7,97.0,0.002
1,50.8,97.0,0.002
1,50.8,97.0,0.002
1,50.9,97.0,0.002
1,50.9,97.0,0.002
1,51.0,97.0,0.002
1,51.1,97.0,0.002
1,51.1,97.0,0.002
1,51.2,97.0,0.002
1,51.3,97.0,0.002
1,51.3,97.0,0.002
1,51.4,97.0,0.002
1,51.4,97.0,0.002
1,51.5,97.0,0.002
1,51.6,97.0,0.002
1,51.6,97.0,0.002
1,51.7,97.0,0.002
1,51.8,97.0,0.002
1,51.8,97.0,0.002
1,51.9,97.0,0.002
1,51.9,97.0,0.002
1,52.0,97.0,0.002
1,52.1,97.0,0.002
1,52.1,97.0,0.002
1,52.2,97.0,0.002
1,52.3,97.0,0.002
1,52.3,97.0,0.002
1,52.4,97.0,0.002
1,52.4,97.0,0.002
1,52.5,97.0,0.002
1,52.6,97.0,0.002
1,52.6,97.0,0.002
1,52.7,97.0,0.002
1,52.8,97.0,0.002
1,52.8,97.0,0.002
1,52.9,97.0,0.002
1,53.0,97.0,0.002
1,53.0,97.0,0.002
1,53.1,97.0,0.002
1,53.1,97.0,0.002
1,53.2,97.0,0.002
1,53.3,97.0,0.002
1,53.3,97.0,0.002
1,53.4,97.0,0.002
1,53.5,97.0,0.002
1,53.5,97.0,0.002
1,53.6,97.0,0.002
1,53.6,97.0,0.002
1,53.7,97.0,0.002
1,53.8,97.0,0.002
1,53.8,97.0,0.002
1,53.9,97.0,0.002
1,54.0,97.0,0.002
1,54.0,97.0,0.002
1,54.1,97.0,0.002
1,54.1,97.0,0.002
1,54.2,97.0,0.002
1,54.3,97.0,0.002
1,54.3,97.0,0.002
1,54.4,97.0,0.002
1,54.5,97.0,0.002
1,54.5,97.0,0.002
1,54.6,97.0,0.002
1,54.6,97.0,0.002
1,54.7,97.0,0.002
1,54.8,97.0,0.002
1,54.8,97.0,0.002
1,54.9,97.0,0.002
1,55.0,97.0,0.002
1,55.0,97.0,0.002
1,55.1,97.0,0.002
1,55.1,97.0,0.002
1,55.2,97.0,0.002
1,55.3,97.0,0.002
1,55.3,97.0,0.002
1,55.4,97.0,0.002
1,55.5,97.0,0.002
1,55.5,97.0,0.002
1,55.6,97.0,0.002
1,55.6,97.0,0.002
1,55.7,97.0,0.002
1,55.8,97.0,0.002
1,55.8,97.0,0.002
1,55.9,97.0,0.002
1,56.0,97.0,0.002
1,56.0,97.0,0.002
1,56.1,97.0,0.002
1,56.1,97.0,0.002
1,56.2,97.0,0.002
1,56.3,97.0,0.002
1,56.3,97.0,0.002
1,56.4,97.0,0.002
1,56.5,97.0,0.002
1,56.5,97.0,0.002
1,56.6,97.0,0.002
1,56.6,97.0,0.002
1,56.7,97.0,0.002
1,56.8,97.0,0.002
1,56.8,97.0,0.002
1,56.9,97.0,0.002
1,57.0,97.0,0.002
1,57.0,97.0,0.002
1,57.1,97.0,0.002
1,57.1,97.0,0.002
1,57.2,97.0,0.002
1,57.3,97.0,0.002
1,57.3,97.0,0.002
1,57.4,97.0,0.002
1,57.4,97.0,0.002
1,57.5,97.0,0.002
1,57.6,97.0,0.002
1,57.6,97.0,0.002
1,57.7,97.0,0.002
1,57.8,97.0,0.002
1,57.8,97.0,0.002
1,57.9,97.0,0.002
1,57.9,97.0,0.002
1,58.0,97.0,0.002
1,58.1,97.0,0.002
1,58.1,97.0,0.002
1,58.2,97.0,0.002
1,58.3,97.0,0.002
1,58.3,97.0,0.002
1,58.4,97.0,0.002
1,58.4,97.0,0.002
1,58.5,97.0,0.002
1,58.6,97.0,0.002
1,58.6,97.0,0.002
1,58.7,97.0,0.002
1,58.8,97.0,0.002
1,58.8,97.0,0.002
1,58.9,97.0,0.002
1,58.9,97.0,0.002
1,59.0,97.0,0.002
1,59.1,97.0,0.002
1,59.1,97.0,0.002
1,59.2,97.0,0.002
1,59.2,97.0,0.002
1,59.3,97.0,0.002
1,59.4,97.0,0.002
1,59.4,97.0,0.002
1,59.5,97.0,0.002
1,59.6,97.0,0.002
1,59.6,97.0,0.002
1,59.7,97.0,0.002
1,59.7,97.0,0.002
1,59.8,97.0,0.002
1,59.9,97.0,0.002
1,59.9,97.0,0.002
1,60.0,97.0,0.002
1,60.0,97.0,0.002
1,60.1,97.0,0.002
1,60.2,97.0,0.002
1,60.2,97.0,0.002
1,60.3,97.0,0.002
1,60.4,97.0,0.002
1,60.4,97.0,0.002
1,60.5,97.0,0.002
1,60.5,97.0,0.002
1,60.6,97.0,0.002
1,60.7,97.0,0.002
1,60.7,97.0,0.002
1,60.8,97.0,0.002
1,60.8,97.0,0.002
1,60.9,97.0,0.002
1,61.0,97.0,0.002
1,61.0,97.0,0.002
1,61.1,97.0,0.002
1,61.2,97.0,0.002
1,61.2,97.0,0.002
1,61.3,97.0,0.002
1,61.3,97.0,0.002
1,61.4,97.0,0.002
1,61.5,97.0,0.002
1,61.5,97.0,0.002
1,61.6,97.0,0.002
1,61.6,97.0,0.002
1,61.7,97.0,0.002
1,61.8,97.0,0.002
1,61.8,97.0,0.002
1,61.9,97.0,0.002
1,61.9,97.0,0.002
1,62.0,97.0,0.002
1,62.1,97.0,0.002
1,62.1,97.0,0.002
1,62.2,97.0,0.002
1,62.3,97.0,0.002
1,62.3,97.0,0.002
1,62.4,97.0,0.002
1,62.4,97.0,0.002
1,62.5,97.0,0.002
1,62.6,97.0,0.002
1,62.6,97.0,0.002
1,62.7,97.0,0.002
1,62.7,97.0,0.002
1,62.8,97.0,0.002
1,62.9,97.0,0.002
1,62.9,97.0,0.002
1,63.0,97.0,0.002
1,63.0,97.0,0.002
1,63.1,97.0,0.002
1,63.2,97.0,0.002
1,63.2,97.0,0.002
1,63.3,97.0,0.002
1,63.3,97.0,0.002
1,63.4,97.0,0.002
1,63.5,97.0,0.002
1,63.5,97.0,0.002
1,63.6,97.0,0.002
1,63.6,97.0,0.002
1,63.7,97.0,0.002
1,63.8,97.0,0.002
1,63.8,97.0,0.002
1,63.9,97.0,0.002
1,63.9,97.0,0.002
1,64.0,97.0,0.002
1,64.1,97.0,0.002
1,64.1,97.0,0.002
1,64.2,97.0,0.002
1,64.3,97.0,0.002
1,64.3,97.0,0.002
1,64.4,97.0,0.002
1,64.4,97.0,0.002
1,64.5,97.0,0.002
1,64.6,97.0,0.002
1,64.6,97.0,0.002
1,64.7,97.0,0.002
1,64.7,97.0,0.002
1,64.8,97.0,0.002
1,64.9,97.0,0.002
1,64.9,97.0,0.002
1,65.0,97.0,0.002
1,65.0,97.0,0.002
1,65.1,97.0,0.002
1,65.2,97.0,0.002
1,65.2,97.0,0.002
1,65.3,97.0,0.002
1,65.3,97.0,0.002
1,65.4,97.0,0.002
1,65.5,97.0,0.002
1,65.5,97.0,0.002
1,65.6,97.0,0.002
1,65.6,97.0,0.002
1,65.7,97.0,0.002
1,65.7,97.0,0.002
1,65.8,97.0,0.002
1,65.9,97.0,0.002
1,65.9,97.0,0.002
1,66.0,97.0,0.002
1,66.0,97.0,0.002
1,66.1,97.0,0.002
1,66.2,97.0,0.002
1,66.2,97.0,0.002
1,66.3,97.0,0.002
1,66.3,97.0,0.002
1,66.4,97.0,0.002
1,66.5,97.0,0.002
1,66.5,97.0,0.002
1,66.6,97.0,0.002
1,66.6,97.0,0.002
1,66.7,97.0,0.002
1,66.8,97.0,0.002
1,66.8,97.0,0.002
1,66.9,97.0,0.002
1,66.9,97.0,0.002
1,67.0,97.0,0.002
1,67.1,97.0,0.002
1,67.1,97.0,0.002
1,67.2,97.0,0.002
1,67.2,97.0,0.002
1,67.3,97.0,0.002
1,67.4,97.0,0.002
1,67.4,97.0,0.002
1,67.5,97.0,0.002
1,67.5,97.0,0.002
1,67.6,97.0,0.002
1,67.6,97.0,0.002
1,67.7,97.0,0.002
1,67.8,97.0,0.002
1,67.8,97.0,0.002
1,67.9,97.0,0.002
1,67.9,97.0,0.002
1,68.0,97.0,0.002
1,68.1,97.0,0.002
1,68.1,97.0,0.002
1,68.2,97.0,0.002
1,68.2,97.0,0.002
1,68.3,97.0,0.002
1,68.3,97.0,0.002
1,68.4,97.0,0.002
1,68.5,97.0,0.002
1,68.5,97.0,0.002
1,68.6,97.0,0.002
1,68.6,97.0,0.002
1,68.7,97.0,0.002
1,68.8,97.0,0.002
1,68.8,97.0,0.002
1,68.9,97.0,0.002
1,68.9,97.0,0.002
1,69.0,97.0,0.002
1,69.0,97.0,0.002
1,69.1,97.0,0.002
1,69.2,97.0,0.002
1,69.2,97.0,0.002
1,69.3,97.0,0.002
1,69.3,97.0,0.002
1,69.4,97.0,0.002
1,69.5,97.0,0.002
1,69.5,97.0,0.002
1,69.6,97.0,0.002
1,69.6,97.0,0.002
1,69.7,97.0,0.002
1,69.7,97.0,0.002
1,69.8,97.0,0.002
1,69.9,97.0,0.002
1,69.9,97.0,0.002
1,70.0,97.0,0.002
1,70.0,97.0,0.002
1,70.1,97.0,0.002
1,70.1,97.0,0.002
1,70.2,97.0,0.002
1,70.3,97.0,0.002
1,70.3,97.0,0.002
1,70.4,97.0,0.002
1,70.4,97.0,0.002
1,70.5,97.0,0.002
1,70.5,97.0,0.002
1,70.6,97.0,0.002
1,70.7,97.0,0.002
1,70.7,97.0,0.002
1,70.8,97.0,0.002
1,70.8,97.0,0.002
1,70.9,97.0,0.002
1,70.9,97.0,0.002
1,71.0,97.0,0.002
1,71.1,97.0,0.002
1,71.1,97.0,0.002
1,71.2,97.0,0.002
1,71.2,97.0,0.002
1,71.3,97.0,0.002
1,71.3,97.0,0.002
1,71.4,97.0,0.002
1,71.5,97.0,0.002
1,71.5,97.0,0.002
1,71.6,97.0,0.002
1,71.6,97.0,0.002
1,71.7,97.0,0.002
1,71.7,97.0,0.002
1,71.8,97.0,0.002
1,71.9,97.0,0.002
1,71.9,97.0,0.002
1,72.0,97.0,0.002
1,72.0,97.0,0.002
1,72.1,97.0,0.002
1,72.1,97.0,0.002
1,72.2,97.0,0.002
1,72.2,97.0,0.002
1,72.3,97.0,0.002
1,72.4,97.0,0.002
1,72.4,97.0,0.002
1,72.5,97.0,0.002
1,72.5,97.0,0.002
1,72.6,97.0,0.002
1,72.6,97.0,0.002
1,72.7,97.0,0.002
1,72.8,97.0,0.002
1,72.8,97.0,0.002
1,72.9,97.0,0.002
1,72.9,97.0,0.002
