LED #,LED PWM (%),LED current (%),Duration (s)
2,50,100,0.01
1,50,100,0.01
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
1,0.999,1.06,1.0
