LED #,LED PWM (%),LED current (%),Duration (s)
4,100,100,0
3,100,100,0
2,100,100,0
4,100,50.5,0
3,100,44.8533653846154,0
2,100,39.3204469948656,0
4,100,26.4,0
3,100,22.5688382880034,0
2,100,18.7310815799188,0
4,100,14.5,0
3,100,12.3034351145038,0
2,100,9.96620590230665,0
4,100,8.7,0
3,100,7.02627060439561,0
2,100,6.20950611888112,0
4,100,5.7,0
3,100,4.38877688172043,0
2,100,4.61819919064748,0
4,100,4.2,0
3,100,3.72976230053192,0
2,100,3.46229073660714,0
4,100,3.4,0
3,100,3.19298828125,0
2,100,3.25921805245536,0
